time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
8.20,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.40,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.60,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.80,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.00,8,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.20,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.40,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.60,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.80,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
10.00,9,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:11,0,10,Still jerking it (and by it I mean servos): ID-1, ,1,
