time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPosServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate
3.81,3,27-08:47:55,1.73003e+09,50.7,1545.34,0,starting,0,0,0,0,0,27-08:47:53,0,8,Still jerking it (and by it, I mean servos): ID-1, ,4,
3.90,3,27-08:47:55,1.73003e+09,51.45,1568.2,0,starting,0,0,0,0,0,27-08:47:53,0,8,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.01,3,27-08:47:55,1.73003e+09,52.65,1604.77,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.10,3,27-08:47:55,1.73003e+09,53.85,1641.35,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.24,3,27-08:47:55,1.73003e+09,54.9,1673.35,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.30,3,27-08:47:55,1.73003e+09,55.8,1700.78,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.40,3,27-08:47:55,1.73003e+09,57.15,1741.93,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.50,3,27-08:47:55,1.73003e+09,57.75,1760.22,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.61,3,27-08:47:55,1.73003e+09,58.8,1792.22,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.71,3,27-08:47:55,1.73003e+09,59.85,1824.23,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.80,4,27-08:47:56,1.73003e+09,61.2,1865.38,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
4.90,4,27-08:47:56,1.73003e+09,62.55,1906.52,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.04,4,27-08:47:56,1.73003e+09,63.6,1938.53,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.10,4,27-08:47:56,1.73003e+09,64.5,1965.96,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.20,4,27-08:47:56,1.73003e+09,65.7,2002.54,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.34,4,27-08:47:56,1.73003e+09,67.05,2043.68,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.40,4,27-08:47:56,1.73003e+09,67.5,2057.4,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.50,4,27-08:47:56,1.73003e+09,69,2103.12,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.61,4,27-08:47:56,1.73003e+09,69.6,2121.41,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.73,4,27-08:47:56,1.73003e+09,70.5,2148.84,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.81,5,27-08:47:57,1.73003e+09,71.7,2185.42,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
5.90,5,27-08:47:57,1.73003e+09,72.75,2217.42,0,starting,0,0,0,0,0,27-08:47:55,0,16,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.00,5,27-08:47:57,1.73003e+09,73.8,2249.42,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.13,5,27-08:47:57,1.73003e+09,74.55,2272.28,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.20,5,27-08:47:57,1.73003e+09,75.45,2299.72,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.30,5,27-08:47:57,1.73003e+09,76.35,2327.15,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.40,5,27-08:47:57,1.73003e+09,77.4,2359.15,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.50,5,27-08:47:57,1.73003e+09,78.9,2404.87,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.60,5,27-08:47:57,1.73003e+09,80.4,2450.59,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.70,5,27-08:47:57,1.73003e+09,81.9,2496.31,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.80,6,27-08:47:58,1.73003e+09,83.4,2542.03,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
6.90,6,27-08:47:58,1.73003e+09,84.9,2587.75,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.00,6,27-08:47:58,1.73003e+09,86.25,2628.9,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.10,6,27-08:47:58,1.73003e+09,87.75,2674.62,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.20,6,27-08:47:58,1.73003e+09,89.25,2720.34,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.30,6,27-08:47:58,1.73003e+09,90.45,2756.92,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.40,6,27-08:47:58,1.73003e+09,92.1,2807.21,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.50,6,27-08:47:58,1.73003e+09,93.45,2848.36,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.60,6,27-08:47:58,1.73003e+09,94.35,2875.79,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
7.70,6,27-08:47:58,1.73003e+09,95.4,2907.79,0,starting,0,0,0,0,0,27-08:47:57,0,24,Still jerking it (and by it, I mean servos): ID-1, ,4,
